sample_id,ERBB2_copy_number,CEP17_copy_number,ERBB2_CEP17_ratio,ERBB2_minus_ploidy,Purity,Ploidy,Tumour Average Depth,Normal Average Depth
CPCT02010694T,3,3,1.0,0.4083000000000001,0.72,2.5917,48.49,36.01
CPCT02080022T,4,4,1.0,0.0800999999999998,0.23,3.9199,51.03,36.89
DO217786,4,4,1.0,-0.1509999999999998,0.34,4.151,44.48,33.84
DO220825,6,4,1.5,2.5325,0.43,3.4675,50.16,33.41
CPCT02160013T,24,2,12.0,21.6656,0.38,2.3344,50.0,32.34
CPCT02020637T,7,4,1.75,3.5341,0.36,3.4659,47.81,35.02
CPCT02020441T,4,4,1.0,0.6263999999999998,0.34,3.3736,50.44,30.65
CPCT02050138T,46,2,23.0,44.0433,0.68,1.9567,50.38,37.51
CPCT02180057T,4,3,1.3333333333333333,0.8166000000000002,0.81,3.1834,49.95,34.69
CPCT02020245T,2,2,1.0,-0.1072000000000001,0.67,2.1072,51.52,35.74
CPCT02030329T,3,1,3.0,1.0417,0.49,1.9583,49.96,34.56
CPCT02010936T,1,2,0.5,-0.8448,0.44,1.8448,46.86,35.41
CPCT02070352T,9,1,9.0,7.0584,0.8,1.9416,48.25,29.02
CPCT02020322T,2,2,1.0,0.0179,0.51,1.9821,51.43,32.34
CPCT02020475T,2,2,1.0,-1.8792,0.56,3.8792,50.21,38.02
CPCT02080122T,5,6,0.8333333333333334,-0.3517000000000001,0.34,5.3517,45.47,55.3
CPCT02040323T,2,2,1.0,-0.0083000000000001,0.58,2.0083,49.49,37.55
CPCT02020276T,3,3,1.0,0.1543000000000001,0.56,2.8457,49.04,39.93
DO217908,2,2,1.0,-0.0221,0.54,2.0221,66.94,33.59
CPCT02020824T,2,6,0.3333333333333333,-1.2848000000000002,0.33,3.2848,47.83,31.55
DO220823,2,3,0.6666666666666666,-0.5150000000000001,0.7,2.515,67.08,34.4
CPCT02040219T,2,2,1.0,-0.2444000000000001,0.34,2.2444,49.0,42.5
CPCT02050088T,3,3,1.0,-0.2292999999999998,0.57,3.2293,50.82,38.12
CPCT02020245TIII,4,4,1.0,-0.1963999999999996,0.22,4.1964,44.71,35.74
TCGA-AN-A0G0T,3,5,0.6,-0.1962999999999999,0.65,3.1963,53.84,31.85
CPCT02100187T,4,5,0.8,-0.0646000000000004,0.32,4.0646,48.92,33.74
CPCT02380039T,3,4,0.75,0.0727000000000002,0.7,2.9273,49.64,27.55
CPCT02340049T,3,3,1.0,-0.1907000000000001,0.71,3.1907,48.74,36.67
TCGA-EW-A1PHT,4,3,1.3333333333333333,0.6566000000000001,0.76,3.3434,48.44,30.71
CPCT02030384T,2,2,1.0,-0.0872000000000001,0.81,2.0872,46.17,27.48
CPCT02050157T,2,4,0.5,-1.6911999999999998,0.47,3.6912,47.56,26.65
CPCT02010509T,2,2,1.0,-1.3842,0.71,3.3842,50.77,33.67
CPCT02080072T,182,8,22.75,176.7667,0.34,5.2333,49.36,35.97
CPCT02020264T,2,1,2.0,0.2517,0.72,1.7483,46.94,30.7
CPCT02020345T,3,3,1.0,-1.0171,0.27,4.0171,49.12,52.89
CPCT02060197T,3,3,1.0,-0.3544999999999998,0.46,3.3545,49.76,32.94
WIDE01010207T,14,3,4.666666666666667,10.2678,0.47,3.7322,48.47,40.69
CPCT02100029T,2,2,1.0,-1.3395,0.71,3.3395,51.34,50.53
CPCT02110056T,2,2,1.0,-1.0353,0.54,3.0353,50.88,40.19
CPCT02080069T,1,1,1.0,-1.0212,0.55,2.0212,50.81,36.25
CPCT02160058T,3,2,1.5,-0.7488999999999999,0.74,3.7489,51.33,34.42
WIDE01010934T,4,5,0.8,-0.4081000000000001,0.9,4.4081,45.2,36.67
CPCT02020314T,3,4,0.75,0.7704,0.71,2.2296,51.23,28.19
CPCT02010288T,2,1,2.0,-0.0011000000000001,0.84,2.0011,48.7,37.72
CPCT02230120TII,3,3,1.0,0.9558,0.61,2.0442,50.1,43.1
CPCT02290035T,2,2,1.0,-0.6762000000000001,0.6,2.6762,49.6,31.87
CPCT02040160T,2,3,0.6666666666666666,-1.5093,0.63,3.5093,48.6,42.0
TCGA-E2-A14PT,58,4,14.5,52.7262,0.32,5.2738,51.08,39.95
CPCT02370004T,2,2,1.0,-0.0026000000000001,0.23,2.0026,48.53,32.28
CPCT02020807T,2,2,1.0,0.2775000000000001,0.44,1.7225,45.53,33.18
CPCT02320008T,5,5,1.0,1.1189,0.49,3.8811,50.82,33.37
CPCT02210035T,2,3,0.6666666666666666,0.0159,0.55,1.9841,50.09,28.79
TCGA-A7-A0CET,3,3,1.0,0.1505999999999998,0.72,2.8494,32.3,28.62
CPCT02390029T,4,5,0.8,0.1251999999999999,0.78,3.8748,48.24,31.59
CPCT02040257T,3,1,3.0,0.3506999999999998,0.66,2.6493,48.66,33.92
WIDE01010162T,2,2,1.0,0.0373000000000001,0.61,1.9627,49.68,40.53
CPCT02030265TII,1,1,1.0,-0.9565,0.28,1.9565,46.3,32.56
CPCT02100105T,2,2,1.0,-0.0190999999999998,0.79,2.0191,47.21,39.0
CPCT02020218T,4,4,1.0,-0.2683999999999997,0.2,4.2684,47.69,37.86
CPCT02020514T,2,1,2.0,0.2644,0.66,1.7356,48.03,29.94
CPCT02050431T,4,5,0.8,0.6846999999999999,0.28,3.3153,48.8,37.93
CPCT02440021T,3,3,1.0,-0.2875999999999998,0.53,3.2876,49.81,31.06
CPCT02020401T,9,2,4.5,7.1459,0.53,1.8541,51.29,32.4
CPCT02120061T,2,1,2.0,0.0504,0.47,1.9496,48.73,44.84
CPCT02030447T,1,3,0.3333333333333333,-0.9999,0.87,1.9999,45.88,50.52
CPCT02290008T,2,2,1.0,-0.1105999999999998,0.61,2.1106,50.63,34.49
CPCT02370006T,4,3,1.3333333333333333,0.4601000000000002,0.73,3.5399,48.17,36.22
CPCT02030218TIII,2,2,1.0,0.1147,0.37,1.8853,51.41,39.47
CPCT02160055T,2,2,1.0,-0.0474000000000001,0.58,2.0474,49.35,31.19
CPCT02080070TII,3,3,1.0,-1.4394,0.37,4.4394,49.23,37.58
DO217931,4,5,0.8,0.3146,0.68,3.6854,46.78,28.7
CPCT02160015T,2,2,1.0,-1.0257,0.71,3.0257,51.77,31.91
WIDE01010547T,5,3,1.6666666666666667,1.2795,0.74,3.7205,50.61,39.78
CPCT02020795T,3,2,1.5,0.1042999999999998,0.5,2.8957,45.8,32.28
CPCT02020680T,4,2,2.0,2.0844,0.72,1.9156,48.87,34.19
CPCT02120029T,2,2,1.0,-0.0531999999999999,0.64,2.0532,44.56,35.31
CPCT02230099T,4,2,2.0,0.4609000000000001,0.51,3.5391,49.09,48.05
WIDE01010950T,3,3,1.0,-0.1181999999999998,0.65,3.1182,48.74,36.47
CPCT02390010T,4,4,1.0,-0.8171999999999997,0.23,4.8172,49.93,44.81
CPCT02050183T,5,3,1.6666666666666667,1.3516,0.51,3.6484,47.35,36.36
DO52544,3,3,1.0,-0.2725,0.74,3.2725,46.84,34.11
